RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$23,500,000"
2,"Joe Johnson, SF",Brooklyn Nets,"$23,180,790"
3,"Carmelo Anthony, SF",New York Knicks,"$22,458,401"
4,"Dwight Howard, C",Houston Rockets,"$21,436,271"
5,"Chris Bosh, PF",Miami Heat,"$20,644,400"
6,"LeBron James, SF",Cleveland Cavaliers,"$20,644,400"
7,"Chris Paul, PG",Los Angeles Clippers,"$20,068,563"
8,"Deron Williams, PG",Brooklyn Nets,"$19,754,465"
9,"Rudy Gay, SF",Sacramento Kings,"$19,317,326"
10,"Kevin Durant, SF",Oklahoma City Thunder,"$18,995,624"
RK,NAME,TEAM,SALARY
11,"Derrick Rose, PG",Chicago Bulls,"$18,862,876"
12,"Blake Griffin, PF",Los Angeles Clippers,"$17,674,613"
13,"Zach Randolph, PF",Memphis Grizzlies,"$16,500,000"
14,"LaMarcus Aldridge, PF",Portland Trail Blazers,"$16,006,000"
15,"Paul George, SF",Indiana Pacers,"$15,937,290"
16,"Marc Gasol, C",Memphis Grizzlies,"$15,829,688"
17,"Kevin Love, PF",Cleveland Cavaliers,"$15,719,063"
18,"Russell Westbrook, PG",Oklahoma City Thunder,"$15,719,062"
19,"Brook Lopez, C",Brooklyn Nets,"$15,719,062"
20,"David Lee, PF",Golden State Warriors,"$15,012,000"
RK,NAME,TEAM,SALARY
21,"Dwyane Wade, SG",Miami Heat,"$15,000,000"
22,"Roy Hibbert, C",Indiana Pacers,"$14,898,938"
23,"Eric Gordon, SG",New Orleans Pelicans,"$14,898,938"
24,"Tyson Chandler, C",Dallas Mavericks,"$14,846,888"
25,"John Wall, PG",Washington Wizards,"$14,746,000"
26,"DeMarcus Cousins, C",Sacramento Kings,"$14,746,000"
27,"James Harden, SG",Houston Rockets,"$14,728,844"
28,"Chandler Parsons, SF",Dallas Mavericks,"$14,700,000"
29,"Al Jefferson, C",Charlotte Hornets,"$13,500,000"
30,"Eric Bledsoe, PG",Phoenix Suns,"$13,000,000"
RK,NAME,TEAM,SALARY
31,"Nene Hilario, C",Washington Wizards,"$13,000,000"
32,"Andrew Bogut, C",Golden State Warriors,"$12,972,973"
33,"Derrick Favors, PF",Utah Jazz,"$12,950,000"
34,"Rajon Rondo, PG",Dallas Mavericks,"$12,909,090"
35,"Joakim Noah, C",Chicago Bulls,"$12,700,000"
36,"Tony Parker, PG",San Antonio Spurs,"$12,500,000"
37,"Serge Ibaka, PF",Oklahoma City Thunder,"$12,350,000"
38,"Andre Iguodala, SF",Golden State Warriors,"$12,289,544"
39,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
40,"Kyle Lowry, PG",Toronto Raptors,"$12,000,000"
2014-2015 Player Salaries,,,
RK,NAME,TEAM,SALARY
41,"Al Horford, C",Atlanta Hawks,"$12,000,000"
42,"Nicolas Batum, SG",Portland Trail Blazers,"$11,765,500"
43,"Ty Lawson, PG",Denver Nuggets,"$11,595,506"
44,"Andrea Bargnani, C",New York Knicks,"$11,500,000"
45,"DeAndre Jordan, C",Los Angeles Clippers,"$11,440,123"
46,"Tyreke Evans, SG",New Orleans Pelicans,"$11,265,416"
47,"JaVale McGee, C",Philadelphia 76ers,"$11,250,000"
48,"Larry Sanders, C",Milwaukee Bucks,"$11,000,000"
49,"Danilo Gallinari, SF",Denver Nuggets,"$10,854,850"
50,"Stephen Curry, PG",Golden State Warriors,"$10,629,213"
RK,NAME,TEAM,SALARY
51,"Marcin Gortat, C",Washington Wizards,"$10,434,782"
52,"Tim Duncan, C",San Antonio Spurs,"$10,361,446"
53,"Gerald Wallace, SF",Boston Celtics,"$10,105,855"
54,"DeMar DeRozan, SG",Toronto Raptors,"$10,100,000"
55,"Jrue Holiday, PG",New Orleans Pelicans,"$9,904,495"
56,"Luol Deng, SF",Miami Heat,"$9,714,461"
57,"Anderson Varejao, C",Cleveland Cavaliers,"$9,704,545"
58,"Steve Nash, PG",Los Angeles Lakers,"$9,701,000"
59,"Paul Millsap, PF",Atlanta Hawks,"$9,500,000"
60,"Thaddeus Young, PF",Brooklyn Nets,"$9,410,869"
RK,NAME,TEAM,SALARY
61,"Tiago Splitter, C",San Antonio Spurs,"$9,250,000"
62,"Jeff Green, SF",Memphis Grizzlies,"$9,200,000"
63,"Lance Stephenson, SF",Charlotte Hornets,"$9,000,000"
64,"Jordan Hill, C",Los Angeles Lakers,"$9,000,000"
65,"Mike Conley, PG",Memphis Grizzlies,"$8,694,216"
66,"Trevor Ariza, SF",Houston Rockets,"$8,579,089"
67,"Channing Frye, PF",Orlando Magic,"$8,579,088"
68,"Marcus Thornton, SF",Phoenix Suns,"$8,575,000"
69,"Ryan Anderson, PF",New Orleans Pelicans,"$8,491,500"
70,"Jeremy Lin, PG",Los Angeles Lakers,"$8,374,646"
RK,NAME,TEAM,SALARY
71,"Omer Asik, C",New Orleans Pelicans,"$8,374,646"
72,"Monta Ellis, SG",Dallas Mavericks,"$8,360,000"
73,"George Hill, PG",Indiana Pacers,"$8,000,000"
74,"Brandon Jennings, PG",Detroit Pistons,"$8,000,000"
75,"Taj Gibson, PF",Chicago Bulls,"$8,000,000"
76,"Dirk Nowitzki, PF",Dallas Mavericks,"$7,974,482"
77,"Ersan Ilyasova, PF",Milwaukee Bucks,"$7,900,000"
78,"Tayshaun Prince, SF",Memphis Grizzlies,"$7,707,865"
79,"Boris Diaw, C",San Antonio Spurs,"$7,500,000"
80,"Arron Afflalo, SG",Portland Trail Blazers,"$7,500,000"
RK,NAME,TEAM,SALARY
81,"Goran Dragic, PG",Phoenix Suns,"$7,500,000"
82,"Wesley Matthews, SG",Portland Trail Blazers,"$7,245,640"
83,"Isaiah Thomas, PG",Phoenix Suns,"$7,238,606"
84,"Avery Bradley, PG",Boston Celtics,"$7,191,011"
85,"Pau Gasol, C",Chicago Bulls,"$7,128,000"
86,"Jose Calderon, PG",New York Knicks,"$7,097,191"
87,"Kyrie Irving, PG",Cleveland Cavaliers,"$7,070,730"
88,"Marvin Williams, PF",Charlotte Hornets,"$7,000,000"
89,"Manu Ginobili, SG",San Antonio Spurs,"$7,000,000"
90,"Amir Johnson, PF",Toronto Raptors,"$7,000,000"
RK,NAME,TEAM,SALARY
91,"Brandon Bass, PF",Boston Celtics,"$6,900,000"
92,"Kevin Martin, SG",Minnesota Timberwolves,"$6,792,500"
93,"JJ Redick, SG",Los Angeles Clippers,"$6,792,500"
94,"Wilson Chandler, SF",Denver Nuggets,"$6,757,913"
95,"Jason Richardson, SG",Philadelphia 76ers,"$6,601,125"
96,"J.R. Smith, SG",New York Knicks,"$6,515,510"
97,"Carl Landry, PF",Sacramento Kings,"$6,500,000"
98,"Greivis Vasquez, PG",Toronto Raptors,"$6,400,000"
99,"Derrick Williams, PF",Sacramento Kings,"$6,331,404"
100,"Jarrett Jack, PG",Brooklyn Nets,"$6,300,000"
RK,NAME,TEAM,SALARY
101,"Kyle Korver, SG",Atlanta Hawks,"$6,253,521"
102,"Landry Fields, SG",Toronto Raptors,"$6,250,000"
103,"Robin Lopez, C",Portland Trail Blazers,"$6,124,729"
104,"Jason Thompson, PF",Sacramento Kings,"$6,037,500"
105,"Gerald Henderson, SG",Charlotte Hornets,"$6,000,000"
106,"Jodie Meeks, SG",Detroit Pistons,"$6,000,000"
107,"Chuck Hayes, PF",Toronto Raptors,"$5,958,750"
108,"Jason Terry, SG",Houston Rockets,"$5,850,313"
109,"Patrick Patterson, PF",Toronto Raptors,"$5,831,326"
110,"P.J. Tucker, SF",Phoenix Suns,"$5,700,000"
RK,NAME,TEAM,SALARY
111,"Enes Kanter, C",Utah Jazz,"$5,694,674"
112,"Anthony Davis, PF",New Orleans Pelicans,"$5,607,240"
113,"Anthony Bennett, PF",Minnesota Timberwolves,"$5,563,920"
114,"Andrew Wiggins, SG",Minnesota Timberwolves,"$5,510,640"
115,"Greg Monroe, C",Detroit Pistons,"$5,479,934"
116,"Courtney Lee, SG",Memphis Grizzlies,"$5,450,000"
117,"Louis Williams, SG",Toronto Raptors,"$5,450,000"
118,"Jamal Crawford, SG",Los Angeles Clippers,"$5,450,000"
119,"Martell Webster, SF",Washington Wizards,"$5,381,750"
120,"JJ Hickson, C",Denver Nuggets,"$5,381,750"
RK,NAME,TEAM,SALARY
121,"Chris Andersen, PF",Miami Heat,"$5,375,000"
122,"Spencer Hawes, PF",Los Angeles Clippers,"$5,305,000"
123,"Josh McRoberts, PF",Miami Heat,"$5,305,000"
124,"Paul Pierce, SF",Washington Wizards,"$5,305,000"
125,"Nikola Mirotic, PF",Chicago Bulls,"$5,305,000"
126,"Keith Bogans, SG",Philadelphia 76ers,"$5,285,817"
127,"Zaza Pachulia, C",Milwaukee Bucks,"$5,200,000"
128,"Tristan Thompson, C",Cleveland Cavaliers,"$5,138,430"
129,"Michael Kidd-Gilchrist, SF",Charlotte Hornets,"$5,016,960"
130,"Brandan Wright, PF",Phoenix Suns,"$5,000,000"
RK,NAME,TEAM,SALARY
131,"Trevor Booker, PF",Utah Jazz,"$5,000,000"
132,"Nick Young, SF",Los Angeles Lakers,"$4,994,420"
133,"Victor Oladipo, SG",Orlando Magic,"$4,978,200"
134,"Jabari Parker, PF",Milwaukee Bucks,"$4,930,560"
135,"Luis Scola, PF",Indiana Pacers,"$4,868,499"
136,"Tony Allen, SG",Memphis Grizzlies,"$4,831,461"
137,"Chris Kaman, C",Portland Trail Blazers,"$4,800,000"
138,"Darren Collison, PG",Sacramento Kings,"$4,797,664"
139,"Kostas Papanikolaou, SF",Houston Rockets,"$4,797,664"
140,"Corey Brewer, SG",Minnesota Timberwolves,"$4,702,500"
RK,NAME,TEAM,SALARY
141,"Ricky Rubio, PG",Minnesota Timberwolves,"$4,660,479"
142,"Andre Miller, PG",Washington Wizards,"$4,650,000"
143,"Timofey Mozgov, C",Denver Nuggets,"$4,650,000"
144,"Bradley Beal, SG",Washington Wizards,"$4,505,280"
145,"Caron Butler, SF",Detroit Pistons,"$4,500,000"
146,"Jonas Jerebko, PF",Detroit Pistons,"$4,500,000"
147,"Otto Porter Jr., SF",Washington Wizards,"$4,470,480"
148,"Joel Embiid, C",Philadelphia 76ers,"$4,427,640"
149,"Luc Richard Mbah a Moute, PF",Philadelphia 76ers,"$4,382,576"
150,"Jared Dudley, SF",Milwaukee Bucks,"$4,250,000"
RK,NAME,TEAM,SALARY
151,"Kris Humphries, PF",Washington Wizards,"$4,250,000"
152,"C.J. Miles, SF",Indiana Pacers,"$4,205,000"
153,"Thabo Sefolosha, SF",Atlanta Hawks,"$4,150,000"
154,"Dion Waiters, SG",Oklahoma City Thunder,"$4,062,000"
155,"Samuel Dalembert, C",New York Knicks,"$4,051,527"
156,"Cody Zeller, C",Charlotte Hornets,"$4,030,560"
157,"Danny Green, SG",San Antonio Spurs,"$4,025,000"
158,"Mario Chalmers, PG",Miami Heat,"$4,000,000"
159,"Ian Mahinmi, C",Indiana Pacers,"$4,000,000"
160,"Aaron Gordon, PF",Orlando Magic,"$3,992,040"
RK,NAME,TEAM,SALARY
161,"Mo Williams, PG",Charlotte Hornets,"$3,965,074"
162,"Vince Carter, SG",Memphis Grizzlies,"$3,911,981"
163,"Kevin Seraphin, PF",Washington Wizards,"$3,898,692"
164,"Devin Harris, PG",Dallas Mavericks,"$3,878,896"
165,"Bismack Biyombo, C",Charlotte Hornets,"$3,873,398"
166,"Patty Mills, PG",San Antonio Spurs,"$3,842,105"
167,"Joel Anthony, C",Detroit Pistons,"$3,800,000"
168,"Raymond Felton, PG",Dallas Mavericks,"$3,793,693"
169,"Jonas Valanciunas, C",Toronto Raptors,"$3,678,360"
170,"Thomas Robinson, PF",Portland Trail Blazers,"$3,678,360"
RK,NAME,TEAM,SALARY
171,"Marreese Speights, C",Golden State Warriors,"$3,657,500"
172,"Alex Len, C",Phoenix Suns,"$3,649,920"
173,"Dante Exum, PG",Utah Jazz,"$3,615,000"
174,"Brandon Knight, PG",Phoenix Suns,"$3,553,917"
175,"Gerald Green, SF",Phoenix Suns,"$3,500,000"
176,"Darrell Arthur, PF",Denver Nuggets,"$3,457,149"
177,"Steve Novak, SF",Utah Jazz,"$3,445,947"
178,"Matt Barnes, SF",Los Angeles Clippers,"$3,396,250"
179,"Mirza Teletovic, PF",Brooklyn Nets,"$3,368,100"
180,"Damian Lillard, PG",Portland Trail Blazers,"$3,340,920"
RK,NAME,TEAM,SALARY
181,"Mike Scott, PF",Atlanta Hawks,"$3,333,333"
182,"Tyler Hansbrough, PF",Toronto Raptors,"$3,326,235"
183,"Andrei Kirilenko, SF",Brooklyn Nets,"$3,326,235"
184,"Mike Dunleavy, SG",Chicago Bulls,"$3,326,235"
185,"Nerlens Noel, PF",Philadelphia 76ers,"$3,315,120"
186,"Marcus Smart, PG",Boston Celtics,"$3,283,320"
187,"Alexey Shved, PG",Philadelphia 76ers,"$3,282,056"
188,"Jason Smith, PF",New York Knicks,"$3,278,000"
189,"Evan Turner, SG",Boston Celtics,"$3,278,000"
190,"Bojan Bogdanovic, SG",Brooklyn Nets,"$3,278,000"
RK,NAME,TEAM,SALARY
191,"Kemba Walker, PG",Charlotte Hornets,"$3,272,091"
192,"Carlos Boozer, PF",Los Angeles Lakers,"$3,251,000"
193,"Gary Neal, PG",Charlotte Hornets,"$3,250,000"
194,"Carlos Delfino, SG",LA Clippers,"$3,250,000"
195,"Anthony Morrow, SG",Oklahoma City Thunder,"$3,200,000"
196,"Dorell Wright, SF",Portland Trail Blazers,"$3,150,000"
197,"Quincy Pondexter, SF",Memphis Grizzlies,"$3,146,068"
198,"Chris Copeland, F",Indiana Pacers,"$3,135,000"
199,"Klay Thompson, SG",Golden State Warriors,"$3,075,880"
200,"Harrison Barnes, SF",Golden State Warriors,"$3,049,920"
RK,NAME,TEAM,SALARY
201,"Alec Burks, SG",Utah Jazz,"$3,034,356"
202,"Ben McLemore, SG",Sacramento Kings,"$3,026,280"
203,"Joel Freeland, C",Portland Trail Blazers,"$3,013,512"
204,"Anthony Tolliver, PF",Phoenix Suns,"$3,000,000"
205,"Kosta Koufos, C",Memphis Grizzlies,"$3,000,000"
206,"Jerryd Bayless, PG",Milwaukee Bucks,"$3,000,000"
207,"D.J. Augustin, PG",Oklahoma City Thunder,"$3,000,000"
208,"Randy Foye, SG",Denver Nuggets,"$3,000,000"
209,"Julius Randle, PF",Los Angeles Lakers,"$2,997,360"
210,"Markieff Morris, PF",Phoenix Suns,"$2,989,239"
RK,NAME,TEAM,SALARY
211,"Furkan Aldemir, PF",Philadelphia 76ers,"$2,963,232"
212,"Marcus Morris, PF",Phoenix Suns,"$2,943,221"
213,"Will Bynum, PG",Washington Wizards,"$2,915,908"
214,"Kawhi Leonard, SF",San Antonio Spurs,"$2,894,059"
215,"Marco Belinelli, SG",San Antonio Spurs,"$2,873,750"
